"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"36209","SIOUX FALLS","Doctor of Osteopathy",2918,2017-09-14,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36251","SIOUX FALLS","",1000,2017-09-14,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"36283","SIOUX FALLS","Medical Doctor",3510,2017-09-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36292","SIOUX FALLS","Medical Doctor",1310.4,2017-09-15,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"36293","SIOUX FALLS","Medical Doctor",1073.55,2017-09-15,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"36302","SIOUX FALLS","Medical Doctor",3510,2017-09-15,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36314","SIOUX FALLS","Medical Doctor",1073.55,2017-09-15,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"36327","SIOUX FALLS","Medical Doctor",1500,2017-09-16,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36379","SIOUX FALLS","Medical Doctor",3130,2017-09-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36387","SIOUX FALLS","Medical Doctor",8000,2017-09-18,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"36390","Sioux Falls","Medical Doctor",2700,2017-09-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36427","SIOUX FALLS","Medical Doctor",1680,2017-09-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36439","SIOUX FALLS","Medical Doctor",5280,2017-09-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36471","Sioux Falls","Doctor of Osteopathy",2000,2017-09-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36474","SIOUX FALLS","Medical Doctor",1036.99,2017-09-19,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"36503","SIOUX FALLS","Medical Doctor",3705,2017-09-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36516","Sioux Falls","Medical Doctor",3900,2017-09-19,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"36520","SIOUX FALLS","Medical Doctor",4360,2017-09-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36533","SIOUX FALLS","Medical Doctor",3087,2017-09-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36548","Sioux Falls","Doctor of Osteopathy",1012.8,2017-09-19,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"36563","SIOUX FALLS","Doctor of Osteopathy",2200,2017-09-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36571","SIOUX FALLS","Medical Doctor",25000,2017-09-20,"2017",1,"Cash or cash equivalent","Consulting Fee","Entity"
"36594","SIOUX FALLS","Medical Doctor",3130,2017-09-20,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36609","SIOUX FALLS","Medical Doctor",59780.13,2017-09-20,"2017",1,"Cash or cash equivalent","Royalty or License","Entity"
"36625","SIOUX FALLS","Medical Doctor",1044.94,2017-09-20,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"36648","SIOUX FALLS","Medical Doctor",1021.61,2017-09-20,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"36652","SIOUX FALLS","",1000,2017-09-20,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"36656","SIOUX FALLS","Medical Doctor",5490,2017-09-20,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36677","SIOUX FALLS","Medical Doctor",2350,2017-09-20,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36725","SIOUX FALLS","",2000,2017-09-21,"2017",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36730","SIOUX FALLS","Medical Doctor",2410,2017-09-21,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36817","SIOUX FALLS","Medical Doctor",3500,2017-09-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"36847","SIOUX FALLS","Doctor of Osteopathy",2340,2017-09-22,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36876","SIOUX FALLS","Medical Doctor",1327.5,2017-09-23,"2017",1,"Cash or cash equivalent","Education","No Third Party Payment"
"36906","SIOUX FALLS","Medical Doctor",1912.5,2017-09-23,"2017",1,"Cash or cash equivalent","Education","No Third Party Payment"
"36936","SIOUX FALLS","",1000,2017-09-25,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"36968","Sioux Falls","Medical Doctor",1475.4,2017-09-25,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"36970","SIOUX FALLS","Medical Doctor",5168,2017-09-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36973","Sioux Falls","Medical Doctor",3250,2017-09-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36987","SIOUX FALLS","Medical Doctor",1764.32,2017-09-25,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"36992","SIOUX FALLS","Medical Doctor",1888,2017-09-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"36998","SIOUX FALLS","",1000,2017-09-25,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"36999","SIOUX FALLS","Medical Doctor",1888,2017-09-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37004","Sioux Falls","Medical Doctor",3900,2017-09-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37015","SIOUX FALLS","Medical Doctor",1888,2017-09-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37044","NORTH SIOUX CITY","Medical Doctor",3000,2017-09-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37057","SIOUX FALLS","Medical Doctor",5168,2017-09-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37064","Sioux Falls","Doctor of Osteopathy",2000,2017-09-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37076","SIOUX FALLS","Medical Doctor",1888,2017-09-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37131","NORTH SIOUX CITY","Medical Doctor",3000,2017-09-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37154","RAPID CITY","Medical Doctor",2300,2017-09-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37200","SIOUX FALLS","Medical Doctor",2725,2017-09-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37210","SIOUX FALLS","Medical Doctor",6000,2017-09-28,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"37227","SIOUX FALLS","",1000,2017-09-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37231","SIOUX FALLS","Medical Doctor",2350,2017-09-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37245","SIOUX FALLS","",1000,2017-09-28,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"37284","SIOUX FALLS","Medical Doctor",1129.84,2017-09-28,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"37286","SIOUX FALLS","Medical Doctor",2725,2017-09-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37299","Sioux Falls","",1015.23,2017-09-28,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"37327","RAPID CITY","Medical Doctor",2300,2017-09-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37330","SIOUX FALLS","Medical Doctor",2300,2017-09-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37341","SIOUX FALLS","Medical Doctor",1800,2017-09-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37344","SIOUX FALLS","Medical Doctor",3500,2017-09-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"37347","Sioux Falls","Medical Doctor",2700,2017-09-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37394","RAPID CITY","Medical Doctor",3000,2017-10-02,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"37487","SIOUX FALLS","Medical Doctor",3500,2017-10-03,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37489","Sioux Falls","Medical Doctor",1076.73,2017-10-03,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"37536","Sioux Falls","Medical Doctor",3000,2017-10-03,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37568","WATERTOWN","Medical Doctor",1875,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37578","Sioux Falls","",1500,2017-10-04,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"37581","SIOUX FALLS","Medical Doctor",2000,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"37601","SIOUX FALLS","Medical Doctor",2250,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37602","WATERTOWN","Medical Doctor",3750,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37603","Sioux Falls","",1000,2017-10-04,"2017",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"37609","SIOUX FALLS","Medical Doctor",1580.09,2017-10-04,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"37612","SIOUX FALLS","Medical Doctor",7320,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37616","SIOUX FALLS","Doctor of Osteopathy",2918,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37628","SIOUX FALLS","Medical Doctor",4360,2017-10-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37666","SIOUX FALLS","Medical Doctor",2750,2017-10-05,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"37681","SIOUX FALLS","Medical Doctor",1500,2017-10-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37730","SIOUX FALLS","Medical Doctor",1256.61,2017-10-05,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"37741","SIOUX FALLS","Medical Doctor",5280,2017-10-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37745","SIOUX FALLS","Medical Doctor",3000,2017-10-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37760","SIOUX FALLS","Medical Doctor",3000,2017-10-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"37762","RAPID CITY","Doctor of Dentistry",1600,2017-10-06,"2017",1,"In-kind items and services","Gift","No Third Party Payment"
"37766","SIOUX FALLS","Medical Doctor",3500,2017-10-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"37769","SIOUX FALLS","Medical Doctor",2100,2017-10-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37823","SIOUX FALLS","Medical Doctor",2500,2017-10-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37847","Sioux Falls","Medical Doctor",1400,2017-10-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37855","SIOUX FALLS","Medical Doctor",3500,2017-10-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37873","Sioux Falls","Medical Doctor",3700,2017-10-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37890","SIOUX FALLS","Medical Doctor",1706.75,2017-10-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37904","SIOUX FALLS","Medical Doctor",2350,2017-10-09,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"37941","SIOUX FALLS","Medical Doctor",4360,2017-10-10,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38001","SIOUX FALLS","Medical Doctor",2030.04,2017-10-10,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38011","SIOUX FALLS","Medical Doctor",2725,2017-10-10,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38017","SIOUX FALLS","Medical Doctor",3125,2017-10-11,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38023","SIOUX FALLS","Medical Doctor",2000,2017-10-11,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38026","PIERRE","Medical Doctor",2100,2017-10-11,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38079","SIOUX FALLS","Medical Doctor",2725,2017-10-11,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38144","SIOUX FALLS","Medical Doctor",2100,2017-10-12,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38163","SIOUX FALLS","Medical Doctor",2150,2017-10-12,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38165","SIOUX FALLS","Medical Doctor",4360,2017-10-12,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38205","Sioux Falls","Medical Doctor",1800,2017-10-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38208","Sioux Falls","Doctor of Osteopathy",1800,2017-10-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38224","DAKOTA DUNES","Medical Doctor",6825,2017-10-13,"2017",1,"Cash or cash equivalent","Consulting Fee","Entity"
"38261","PIERRE","Medical Doctor",2160,2017-10-13,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38415","Sioux Falls","Medical Doctor",1340,2017-10-17,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"38442","Sioux Falls","Medical Doctor",2000,2017-10-17,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38499","SIOUX FALLS","Medical Doctor",3000,2017-10-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38524","SIOUX FALLS","Medical Doctor",1036.6,2017-10-18,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38529","SIOUX FALLS","Medical Doctor",4360,2017-10-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38530","SIOUX FALLS","Medical Doctor",1950,2017-10-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38539","SIOUX FALLS","Medical Doctor",1129.84,2017-10-18,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38546","Sioux Falls","Doctor of Osteopathy",1800,2017-10-18,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38577","SIOUX FALLS","Medical Doctor",1597.25,2017-10-19,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38584","SIOUX FALLS","Medical Doctor",3500,2017-10-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"38608","Sioux Falls","Doctor of Osteopathy",1800,2017-10-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38619","SIOUX FALLS","Medical Doctor",5168,2017-10-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38629","SIOUX FALLS","Medical Doctor",2556.85,2017-10-19,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"38630","SIOUX FALLS","Medical Doctor",1500,2017-10-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38648","SIOUX FALLS","Medical Doctor",5168,2017-10-19,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38773","SIOUX FALLS","Medical Doctor",2250,2017-10-23,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38817","SIOUX FALLS","Medical Doctor",1500,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38833","Sioux Falls","Medical Doctor",2274.82,2017-10-24,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38841","SIOUX FALLS","Medical Doctor",3938,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38848","SIOUX FALLS","Medical Doctor",1477,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38855","SIOUX FALLS","Medical Doctor",2250,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38869","SIOUX FALLS","Medical Doctor",2100,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38870","SIOUX FALLS","Medical Doctor",1154.6,2017-10-24,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38876","SIOUX FALLS","Medical Doctor",2895.13,2017-10-24,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"38877","SIOUX FALLS","Medical Doctor",1888,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38916","SIOUX FALLS","Medical Doctor",3118,2017-10-24,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38922","WATERTOWN","Medical Doctor",1347.5,2017-10-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38924","SIOUX FALLS","Medical Doctor",3500,2017-10-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"38936","Sioux Falls","Medical Doctor",1450,2017-10-25,"2017",1,"Cash or cash equivalent","Honoraria","Entity"
"38970","SIOUX FALLS","Doctor of Osteopathy",1751,2017-10-25,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"38974","WATERTOWN","Medical Doctor",3850,2017-10-25,"2017",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"38998","SIOUX FALLS","Medical Doctor",2725,2017-10-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39013","RAPID CITY","Medical Doctor",6000,2017-10-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39018","SIOUX FALLS","Doctor of Osteopathy",2900,2017-10-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39022","SIOUX FALLS","Medical Doctor",2600,2017-10-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39024","SIOUX FALLS","Medical Doctor",1900,2017-10-26,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39052","SIOUX FALLS","Medical Doctor",11818.34,2017-10-26,"2017",1,"Cash or cash equivalent","Royalty or License","Entity"
"39056","SIOUX FALLS","Medical Doctor",3500,2017-10-26,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"39158","SIOUX FALLS","Medical Doctor",2600,2017-10-27,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39172","SIOUX FALLS","Medical Doctor",7837.5,2017-10-28,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39189","RAPID CITY","Doctor of Osteopathy",1375,2017-10-30,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39245","SIOUX FALLS","Medical Doctor",6560,2017-10-30,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"39352","SIOUX FALLS","Medical Doctor",2500,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"39362","SIOUX FALLS","Medical Doctor",2500,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"39369","SIOUX FALLS","Medical Doctor",3000,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39382","Sioux Falls","Medical Doctor",2000,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39385","SIOUX FALLS","Medical Doctor",1950,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39387","PIERRE","Medical Doctor",2000,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"39388","SIOUX FALLS","Medical Doctor",2500,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"39394","SIOUX FALLS","Medical Doctor",1706.75,2017-11-01,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
